id,post_id,shortcode,post_url,username,caption,likes_count,comments_count,posted_at,scraped_at,metadata
372,3808095248699290737,DTZEnPZkvRx,https://www.instagram.com/p/DTZEnPZkvRx/,kokokuliner,"Definisi one stop dining yang selalu rame di Bandung. Jujur, makanan Indonesianya juara banget dan beneran flavorful. Menu lainnya ada menu western, aneka roti & viral tissue bread. Vibes-nya homey dan nyaman, cocok banget buat lunch bareng temen kantor atau quality time bareng keluarga⤵️
.
PASKAL 219
🖥️ @paskal219bandung 
📍 Jl. Pasirkaliki No.219, Bandung
📞 0813 1313 8872
 ⏰ 8 AM - 10 PM

#kokokuliner #kulinerBandung #paskal219 #OneStopDining #kulinerpasirkaliki",3,158,2026-01-12 08:12:47,2026-01-13 10:52:21.522681,"{'media_type': 2, 'product_type': 'clips'}"
373,3806671440314533044,DTUA4GgkoS0,https://www.instagram.com/p/DTUA4GgkoS0/,kokokuliner,"STEAK SERIES + MENU BARU KETUPAT DOROKDOK MADURA 🥩🍲
.
Kesini ga cuma Rosti atau Pisang Goreng Ethnic nya aja! Cobain deh menu steak seriesnya. Daging nya tender & juicy, kematangannya pas, homemade sauce nya juga enak. Ada menu baru juga Ketupat Dorokdok Madura, kalo all time fav kita disini slalu suka menu Lontong Cap Gomeh nya. Perfect spot for weekend dining bareng keluarga⤵️
.
ETHNIC RESTO
🖥️ @ethnicresto 
📍 Jl. Aceh No.58, Bandung
📞 0821 1708 1337
⏰ 7 AM - 9 PM

#kokokuliner #EthnicResto #WaroengEthnic #SteakSeries #KetupatDorokdokMadura",3,159,2026-01-10 09:03:55,2026-01-13 10:52:21.564355,"{'media_type': 2, 'product_type': 'clips'}"
374,3805918227780998036,DTRVnarEhOU,https://www.instagram.com/p/DTRVnarEhOU/,kokokuliner,"HAMPERS IMLEK PREMIUM START FROM 80K 🏮🧧
.
Setiap tahun ga pernah skip koleksi hampers premium dari Taralle Bakehouse! Packagingnya cantik dan exclusive, isiannya pun beneran kasta tertinggi! Harganya juga masi yang affordable banget, ada early bird promo kalo kalian order sebelum tanggal 10 January 2026! 
.
Ada Musang King Coconut Cookies, Pineapple Tart Original Legit Preanger (catalog lengkapnya bisa langsung cek di official IG mereka). Recommended banget buat kirim2 ke teman dan keluarga di momen imlek nanti. ORDER NOW⤵️
.
TARALLE BAKEHOUSE
🖥️ @taralle.bakehouse 
📍 Paskal 219, Jl. Pasir Kaliki No.219, Bandung
📍 Pancawarna 5, KBP
📞 0853 1458 7136
✔️ Tokopedia, Shopee

#kokokuliner #CNYHampers #HampersImlek  #HampersBandung #TaralleBakehouse",3,200,2026-01-09 08:07:32,2026-01-13 10:52:21.576503,"{'media_type': 2, 'product_type': 'clips'}"
375,3805373652981186245,DTPZyz3kv7F,https://www.instagram.com/p/DTPZyz3kv7F/,kokokuliner,"BARU❗️CIMOL KUAH KEJU
.
Jajanan traditional Cimol Bojot AA makin naik kelas deh. Punya menu baru Cimol Kuah Keju yang rich, creamy dan ngeju banget. Ada kick pedesnya dari chili oil dan topping pilus yang kriuk nagih! Recommended banget sih buat cobain⤵️
.
CIMOL BOJOT AA
🖥️ @cimolbojotaa 
📍 Saparua, Bandung
📍 Multiple Outlets

#kokokuliner #kulinerBandung #jajananBandung #CimolKuahKeju #CimolBojotAA",3,147,2026-01-08 14:05:30,2026-01-13 10:52:21.589256,"{'media_type': 2, 'product_type': 'clips'}"
376,3799876751459883782,DS738XZCBsG,https://www.instagram.com/p/DS738XZCBsG/,kokokuliner,"Thank you, 2025, for the amazing journey ✨

Mungkin tahun ini nggak se-’berisik’ atau seseru tahun-tahun sebelumnya, tapi gw tetap bersyukur buat setiap proses yang ada. Terima kasih sudah bertahan dan belajar banyak hal baru 🤍

Cheers to 2026! Semoga di tahun yang baru ini, langkah kita jadi lebih ringan, hati lebih tenang, dan semuanya jauh lebih baik lagi. Happy New Year Everyone 🎉

#kokokuliner #kokokulinerRecap #kokokulinerRecap2025 #NewYear2026 #Kokul2026",3,233,2026-01-01 00:04:43,2026-01-13 10:52:21.602714,"{'media_type': 2, 'product_type': 'clips'}"
377,3799539980918993744,DS6rXtYkjNQ,https://www.instagram.com/p/DS6rXtYkjNQ/,kokokuliner,"Welcoming the New Year with a family staycation at The Trans Luxury Hotel Bandung

Spacious rooms, city views, and the iconic white sandy pool make it the perfect place to relax, reconnect, and create new memories together ✨

#kokokuliner #kokokulinerHotelBandung #HotelBandung #TheTransLuxuryHotel #TSM",3,112,2025-12-31 12:55:49,2026-01-13 10:52:21.657088,"{'media_type': 2, 'product_type': 'clips'}"
378,3799376495723546310,DS6GMr7kgbG,https://www.instagram.com/p/DS6GMr7kgbG/,kokokuliner,"NEW ASIAN PERANAKAN COMFORT FOOD 😋
.
Meet Lazy Jennie — bold red interior, estetik dan eye-catching banget! Cobain peatha curry fish ball dengan curry yang medok, rich, dan comforting. Menu lainnya ada kwetiau, mee pok, nasi goreng, bakso goreng dan menu breakfast lainnya ada aneka toast & egg tart
.
Tempatnya cakep, makanannya enak, vibes-nya dapet⤵️
.
LAZY JENNIE
🖥️ @lazyjennie.id 
📍 Jl. Taman Pramuka No.183, Bandung
⏰ 9 AM - 9 PM

#kokokuliner #KulinerBandung #LazyJennie #TamanPramuka",3,46,2025-12-31 07:30:22,2026-01-13 10:52:21.702382,"{'media_type': 2, 'product_type': 'clips'}"
379,3798658500772660341,DS3i8fBkoR1,https://www.instagram.com/p/DS3i8fBkoR1/,kokokuliner,"Spent a beautifully curated afternoon at the Merry Makers Christmas - Flower Arrangement Workshop. In an exclusive @hotelindigo_bandung collaboration with @heartmadebyamora, this creative escape was the perfect blend of crafting festive centerpieces and enjoying a delightful afternoon tea 🌸🍵

#kokokuliner #kulinerBandung #HotelBandung #IndigoHotelBandung #AmoraGiftShop",3,115,2025-12-30 07:44:14,2026-01-13 10:52:21.719411,"{'media_type': 2, 'product_type': 'clips'}"
380,3797933720897517878,DS0-JjKkvk2,https://www.instagram.com/p/DS0-JjKkvk2/,kokokuliner,"GRAND OPENING TIANLALA BANDA 🥳
.
Terima kasih atas doa dan support dari keluarga, team Kokul yang selalu standby mengabadikan setiap momen, teman-teman Kokul, hotelier friends, foodie friends, Tianlala crews dan semua pengunjung yang udah mau sabar antri 
.
Special thanks to Media Jakarta ci Merry dari Shang Bao & ci Alleta dari Yukmakan Channel yang udah dateng jauh jauh dari Jakarta 
.
So grateful for all the love and support 🤍 
Semoga di tahun 2026 bisa terwujud buka store ke-3. Amin 🫶🏻

TIANLALA BANDA
🖥️ @tianlala.banda 
📍 Jl. Ambon No.15, Bandung, Graha Saparua
⏰ 9 AM - 9 PM

#kokokuliner #TianlalaIndonesia #TianlalaBandung #TiaalaBanda #GrandOpeningTianlala",3,201,2025-12-29 07:43:38,2026-01-13 10:52:21.755141,"{'media_type': 2, 'product_type': 'clips'}"
381,3797319269370438205,DSyycGlkiI9,https://www.instagram.com/p/DSyycGlkiI9/,kokokuliner,"Hilton Bandung punya tema Bandung Chocolate Celebration selama bulan December berkolaborasi dengan Terve Chocolate. Nikmati rangkaian acara yang berbeda setiap hari nya!
.
Kalo ini kita kemaren experience Chef Table Private Dining di tanggal 12 December kemaren! 4-course set menu + 2 specials signature from Terve Chocolate! Makanan nya enak-enak, platinggannya cantik! Suka banget Salmon Gravlax dan Pandan Custard Strawberry Choco Sauce nya! 😋
.
HILTON BANDUNG
🖥️ @hiltonbandung 
📍 Jl. HOS.Tjokroaminoto No.41-43, Bandung
📞 0811 2281 335

#kokokuliner #kokokulinerHotelBandung #HiltonBandung #BandungChocolateCelebration #TerveChocolate",3,46,2025-12-28 11:22:34,2026-01-13 10:52:21.773394,"{'media_type': 8, 'product_type': 'carousel_container'}"
