id,post_id,shortcode,post_url,username,caption,likes_count,comments_count,posted_at,scraped_at,metadata,nama_resto,akun_resto,alamat,nomor_telepon,jam_operasional,caption_bersih,alamat_resolved,has_cta,caption_no_cta,jumlah_kata,jenis_tempat,akun_resto_norm,ig_username,ig_full_name,ig_category,ig_bio,ig_followers,ig_is_business,lokasi,alamat_final,jam_buka,jam_tutup
372,3808095248699290737,DTZEnPZkvRx,https://www.instagram.com/p/DTZEnPZkvRx/,kokokuliner,"definisi one stop dining yang selalu rame di bandung. jujur, makanan indonesianya juara banget dan beneran flavorful. menu lainnya ada menu western, aneka roti & viral tissue bread. vibes-nya homey dan nyaman, cocok banget buat lunch bareng temen kantor atau quality time bareng keluarga⤵️
.
paskal 219
🖥️ @paskal219bandung 
📍 jl. pasirkaliki no.219, bandung
📞 0813 1313 8872
 ⏰ 8 am - 10 pm

#kokokuliner #kulinerbandung #paskal219 #onestopdining #kulinerpasirkaliki",3,158,2026-01-12 08:12:47,2026-01-13 10:52:21.522681,"{'media_type': 2, 'product_type': 'clips'}",PASKAL 219,@paskal219bandung,"Jl. Pasirkaliki No.219, Bandung",0813 1313 8872,8 pagi hingga 10 malam,"definisi one stop dining yang selalu rame di bandung. jujur, makanan indonesianya juara banget dan beneran flavorful. menu lainnya ada menu western, aneka roti & viral tissue bread. vibes-nya homey dan nyaman, cocok banget buat lunch bareng temen kantor atau quality time bareng keluarga","Jl. Pasirkaliki No.219, Bandung",False,"definisi one stop dining yang selalu rame di bandung. jujur, makanan indonesianya juara banget dan beneran flavorful. menu lainnya ada menu western, aneka roti & viral tissue bread. vibes-nya homey dan nyaman, cocok banget buat lunch bareng temen kantor atau quality time bareng keluarga",44,Dessert / Bakery,paskal219bandung,paskal219bandung,paskal 219 bandung bakery and resto,,"📍pasirkaliki no. 219
🕰 08:00-22:00 
food and drinks available 08:30-22:00
@taralle.bakehouse @madamejuvi @grillnesia @allhandcoffee.bdg",10774.0,False,Bandung,"Jl. Pasirkaliki No.219, Bandung",8 pagi,10 malam
372,3808095248699290737,DTZEnPZkvRx,https://www.instagram.com/p/DTZEnPZkvRx/,kokokuliner,"definisi one stop dining yang selalu rame di bandung. jujur, makanan indonesianya juara banget dan beneran flavorful. menu lainnya ada menu western, aneka roti & viral tissue bread. vibes-nya homey dan nyaman, cocok banget buat lunch bareng temen kantor atau quality time bareng keluarga⤵️
.
paskal 219
🖥️ @paskal219bandung 
📍 jl. pasirkaliki no.219, bandung
📞 0813 1313 8872
 ⏰ 8 am - 10 pm

#kokokuliner #kulinerbandung #paskal219 #onestopdining #kulinerpasirkaliki",3,158,2026-01-12 08:12:47,2026-01-13 10:52:21.522681,"{'media_type': 2, 'product_type': 'clips'}",PASKAL 219,@paskal219bandung,"Jl. Pasirkaliki No.219, Bandung",0813 1313 8872,8 pagi hingga 10 malam,"definisi one stop dining yang selalu rame di bandung. jujur, makanan indonesianya juara banget dan beneran flavorful. menu lainnya ada menu western, aneka roti & viral tissue bread. vibes-nya homey dan nyaman, cocok banget buat lunch bareng temen kantor atau quality time bareng keluarga","Jl. Pasirkaliki No.219, Bandung",False,"definisi one stop dining yang selalu rame di bandung. jujur, makanan indonesianya juara banget dan beneran flavorful. menu lainnya ada menu western, aneka roti & viral tissue bread. vibes-nya homey dan nyaman, cocok banget buat lunch bareng temen kantor atau quality time bareng keluarga",44,Restaurant,paskal219bandung,paskal219bandung,paskal 219 bandung bakery and resto,,"📍pasirkaliki no. 219
🕰 08:00-22:00 
food and drinks available 08:30-22:00
@taralle.bakehouse @madamejuvi @grillnesia @allhandcoffee.bdg",10774.0,False,Bandung,"Jl. Pasirkaliki No.219, Bandung",8 pagi,10 malam
373,3806671440314533044,DTUA4GgkoS0,https://www.instagram.com/p/DTUA4GgkoS0/,kokokuliner,"steak series + menu baru ketupat dorokdok madura 🥩🍲
.
kesini ga cuma rosti atau pisang goreng ethnic nya aja! cobain deh menu steak seriesnya. daging nya tender & juicy, kematangannya pas, homemade sauce nya juga enak. ada menu baru juga ketupat dorokdok madura, kalo all time fav kita disini slalu suka menu lontong cap gomeh nya. perfect spot for weekend dining bareng keluarga⤵️
.
ethnic resto
🖥️ @ethnicresto 
📍 jl. aceh no.58, bandung
📞 0821 1708 1337
⏰ 7 am - 9 pm

#kokokuliner #ethnicresto #waroengethnic #steakseries #ketupatdorokdokmadura",3,159,2026-01-10 09:03:55,2026-01-13 10:52:21.564355,"{'media_type': 2, 'product_type': 'clips'}",ETHNIC RESTO,@ethnicresto,"Jl. Aceh No.58, Bandung",0821 1708 1337,7 pagi hingga 9 malam,"steak series + menu baru ketupat dorokdok madura .
kesini ga cuma rosti atau pisang goreng ethnic nya aja! cobain deh menu steak seriesnya. daging nya tender & juicy, kematangannya pas, homemade sauce nya juga enak. ada menu baru juga ketupat dorokdok madura, kalo all time fav kita disini slalu suka menu lontong cap gomeh nya. perfect spot for weekend dining bareng keluarga","Jl. Aceh No.58, Bandung",False,"steak series + menu baru ketupat dorokdok madura . kesini ga cuma rosti atau pisang goreng ethnic nya aja! cobain deh menu steak seriesnya. daging nya tender & juicy, kematangannya pas, homemade sauce nya juga enak. ada menu baru juga ketupat dorokdok madura, kalo all time fav kita disini slalu suka menu lontong cap gomeh nya. perfect spot for weekend dining bareng keluarga",63,Restaurant,ethnicresto,ethnicresto,waroeng ethnic,,"est. 2004
food . family . friends
opening hours : 07.00 - 21.00
no pork no lard
for more details 👇",2809.0,True,Bandung,"Jl. Aceh No.58, Bandung",7 pagi,9 malam
373,3806671440314533044,DTUA4GgkoS0,https://www.instagram.com/p/DTUA4GgkoS0/,kokokuliner,"steak series + menu baru ketupat dorokdok madura 🥩🍲
.
kesini ga cuma rosti atau pisang goreng ethnic nya aja! cobain deh menu steak seriesnya. daging nya tender & juicy, kematangannya pas, homemade sauce nya juga enak. ada menu baru juga ketupat dorokdok madura, kalo all time fav kita disini slalu suka menu lontong cap gomeh nya. perfect spot for weekend dining bareng keluarga⤵️
.
ethnic resto
🖥️ @ethnicresto 
📍 jl. aceh no.58, bandung
📞 0821 1708 1337
⏰ 7 am - 9 pm

#kokokuliner #ethnicresto #waroengethnic #steakseries #ketupatdorokdokmadura",3,159,2026-01-10 09:03:55,2026-01-13 10:52:21.564355,"{'media_type': 2, 'product_type': 'clips'}",ETHNIC RESTO,@ethnicresto,"Jl. Aceh No.58, Bandung",0821 1708 1337,7 pagi hingga 9 malam,"steak series + menu baru ketupat dorokdok madura .
kesini ga cuma rosti atau pisang goreng ethnic nya aja! cobain deh menu steak seriesnya. daging nya tender & juicy, kematangannya pas, homemade sauce nya juga enak. ada menu baru juga ketupat dorokdok madura, kalo all time fav kita disini slalu suka menu lontong cap gomeh nya. perfect spot for weekend dining bareng keluarga","Jl. Aceh No.58, Bandung",False,"steak series + menu baru ketupat dorokdok madura . kesini ga cuma rosti atau pisang goreng ethnic nya aja! cobain deh menu steak seriesnya. daging nya tender & juicy, kematangannya pas, homemade sauce nya juga enak. ada menu baru juga ketupat dorokdok madura, kalo all time fav kita disini slalu suka menu lontong cap gomeh nya. perfect spot for weekend dining bareng keluarga",63,Western / Fast Food,ethnicresto,ethnicresto,waroeng ethnic,,"est. 2004
food . family . friends
opening hours : 07.00 - 21.00
no pork no lard
for more details 👇",2809.0,True,Bandung,"Jl. Aceh No.58, Bandung",7 pagi,9 malam
374,3805918227780998036,DTRVnarEhOU,https://www.instagram.com/p/DTRVnarEhOU/,kokokuliner,"hampers imlek premium start from 80k 🏮🧧
.
setiap tahun ga pernah skip koleksi hampers premium dari taralle bakehouse! packagingnya cantik dan exclusive, isiannya pun beneran kasta tertinggi! harganya juga masi yang affordable banget, ada early bird promo kalo kalian order sebelum tanggal 10 january 2026! 
.
ada musang king coconut cookies, pineapple tart original legit preanger (catalog lengkapnya bisa langsung cek di official ig mereka). recommended banget buat kirim2 ke teman dan keluarga di momen imlek nanti. order now⤵️
.
taralle bakehouse
🖥️ @taralle.bakehouse 
📍 paskal 219, jl. pasir kaliki no.219, bandung
📍 pancawarna 5, kbp
📞 0853 1458 7136
✔️ tokopedia, shopee

#kokokuliner #cnyhampers #hampersimlek  #hampersbandung #tarallebakehouse",3,200,2026-01-09 08:07:32,2026-01-13 10:52:21.576503,"{'media_type': 2, 'product_type': 'clips'}",TARALLE BAKEHOUSE,@taralle.bakehouse,"Paskal 219, Jl. Pasir Kaliki No.219, Bandung; Pancawarna 5, KBP",0853 1458 7136,,"hampers imlek premium start from 80k .
setiap tahun ga pernah skip koleksi hampers premium dari taralle bakehouse! packagingnya cantik dan exclusive, isiannya pun beneran kasta tertinggi! harganya juga masi yang affordable banget, ada early bird promo kalo kalian order sebelum tanggal 10 january 2026! .
ada musang king coconut cookies, pineapple tart original legit preanger (catalog lengkapnya bisa langsung cek di official ig mereka). recommended banget buat kirim2 ke teman dan keluarga di momen imlek nanti. order now","Paskal 219, Jl. Pasir Kaliki No.219, Bandung",True,"hampers imlek premium start from 80k . setiap tahun ga pernah skip koleksi hampers premium dari taralle bakehouse! packagingnya cantik dan exclusive, isiannya pun beneran kasta tertinggi! .",28,Event,taralle.bakehouse,taralle.bakehouse,taralle bakehouse hampers natal christmas,,"taralle bakehouse
halal certified 
open: mon - sun (07:00 - 21:00)
open everyday
ruko pancawarna no 5&6, kbp
paskal 219, jl. pasirkaliki no 219 bdg",32403.0,False,Bandung,"Paskal 219, Jl. Pasir Kaliki No.219, Bandung",,
374,3805918227780998036,DTRVnarEhOU,https://www.instagram.com/p/DTRVnarEhOU/,kokokuliner,"hampers imlek premium start from 80k 🏮🧧
.
setiap tahun ga pernah skip koleksi hampers premium dari taralle bakehouse! packagingnya cantik dan exclusive, isiannya pun beneran kasta tertinggi! harganya juga masi yang affordable banget, ada early bird promo kalo kalian order sebelum tanggal 10 january 2026! 
.
ada musang king coconut cookies, pineapple tart original legit preanger (catalog lengkapnya bisa langsung cek di official ig mereka). recommended banget buat kirim2 ke teman dan keluarga di momen imlek nanti. order now⤵️
.
taralle bakehouse
🖥️ @taralle.bakehouse 
📍 paskal 219, jl. pasir kaliki no.219, bandung
📍 pancawarna 5, kbp
📞 0853 1458 7136
✔️ tokopedia, shopee

#kokokuliner #cnyhampers #hampersimlek  #hampersbandung #tarallebakehouse",3,200,2026-01-09 08:07:32,2026-01-13 10:52:21.576503,"{'media_type': 2, 'product_type': 'clips'}",TARALLE BAKEHOUSE,@taralle.bakehouse,"Paskal 219, Jl. Pasir Kaliki No.219, Bandung; Pancawarna 5, KBP",0853 1458 7136,,"hampers imlek premium start from 80k .
setiap tahun ga pernah skip koleksi hampers premium dari taralle bakehouse! packagingnya cantik dan exclusive, isiannya pun beneran kasta tertinggi! harganya juga masi yang affordable banget, ada early bird promo kalo kalian order sebelum tanggal 10 january 2026! .
ada musang king coconut cookies, pineapple tart original legit preanger (catalog lengkapnya bisa langsung cek di official ig mereka). recommended banget buat kirim2 ke teman dan keluarga di momen imlek nanti. order now","Paskal 219, Jl. Pasir Kaliki No.219, Bandung",True,"hampers imlek premium start from 80k . setiap tahun ga pernah skip koleksi hampers premium dari taralle bakehouse! packagingnya cantik dan exclusive, isiannya pun beneran kasta tertinggi! .",28,Hampers,taralle.bakehouse,taralle.bakehouse,taralle bakehouse hampers natal christmas,,"taralle bakehouse
halal certified 
open: mon - sun (07:00 - 21:00)
open everyday
ruko pancawarna no 5&6, kbp
paskal 219, jl. pasirkaliki no 219 bdg",32403.0,False,Bandung,"Paskal 219, Jl. Pasir Kaliki No.219, Bandung",,
375,3805373652981186245,DTPZyz3kv7F,https://www.instagram.com/p/DTPZyz3kv7F/,kokokuliner,"baru❗️cimol kuah keju
.
jajanan traditional cimol bojot aa makin naik kelas deh. punya menu baru cimol kuah keju yang rich, creamy dan ngeju banget. ada kick pedesnya dari chili oil dan topping pilus yang kriuk nagih! recommended banget sih buat cobain⤵️
.
cimol bojot aa
🖥️ @cimolbojotaa 
📍 saparua, bandung
📍 multiple outlets

#kokokuliner #kulinerbandung #jajananbandung #cimolkuahkeju #cimolbojotaa",3,147,2026-01-08 14:05:30,2026-01-13 10:52:21.589256,"{'media_type': 2, 'product_type': 'clips'}",CIMOL BOJOT AA,@cimolbojotaa,"Saparua, Bandung; Multiple Outlets",,,"barucimol kuah keju
.
jajanan traditional cimol bojot aa makin naik kelas deh. punya menu baru cimol kuah keju yang rich, creamy dan ngeju banget. ada kick pedesnya dari chili oil dan topping pilus yang kriuk nagih! recommended banget sih buat cobain","Saparua, Bandung",True,"barucimol kuah keju
. jajanan traditional cimol bojot aa makin naik kelas deh. punya menu baru cimol kuah keju yang rich, creamy dan ngeju banget. ada kick pedesnya dari chili oil dan topping pilus yang kriuk nagih!",37,Indonesian Food,cimolbojotaa,cimolbojotaa,cimol bojot aa,,"🥇kasta tertinggi cimol! pedasnya bikin nagih!
📄 halal mui : id32110016944470244
📝 pirt     : 6033273012510-29 
📍bandung raya & jakarta
     order now👇",111588.0,True,Bandung,"Saparua, Bandung",,
375,3805373652981186245,DTPZyz3kv7F,https://www.instagram.com/p/DTPZyz3kv7F/,kokokuliner,"baru❗️cimol kuah keju
.
jajanan traditional cimol bojot aa makin naik kelas deh. punya menu baru cimol kuah keju yang rich, creamy dan ngeju banget. ada kick pedesnya dari chili oil dan topping pilus yang kriuk nagih! recommended banget sih buat cobain⤵️
.
cimol bojot aa
🖥️ @cimolbojotaa 
📍 saparua, bandung
📍 multiple outlets

#kokokuliner #kulinerbandung #jajananbandung #cimolkuahkeju #cimolbojotaa",3,147,2026-01-08 14:05:30,2026-01-13 10:52:21.589256,"{'media_type': 2, 'product_type': 'clips'}",CIMOL BOJOT AA,@cimolbojotaa,"Saparua, Bandung; Multiple Outlets",,,"barucimol kuah keju
.
jajanan traditional cimol bojot aa makin naik kelas deh. punya menu baru cimol kuah keju yang rich, creamy dan ngeju banget. ada kick pedesnya dari chili oil dan topping pilus yang kriuk nagih! recommended banget sih buat cobain","Saparua, Bandung",True,"barucimol kuah keju
. jajanan traditional cimol bojot aa makin naik kelas deh. punya menu baru cimol kuah keju yang rich, creamy dan ngeju banget. ada kick pedesnya dari chili oil dan topping pilus yang kriuk nagih!",37,Street Food,cimolbojotaa,cimolbojotaa,cimol bojot aa,,"🥇kasta tertinggi cimol! pedasnya bikin nagih!
📄 halal mui : id32110016944470244
📝 pirt     : 6033273012510-29 
📍bandung raya & jakarta
     order now👇",111588.0,True,Bandung,"Saparua, Bandung",,
378,3799376495723546310,DS6GMr7kgbG,https://www.instagram.com/p/DS6GMr7kgbG/,kokokuliner,"new asian peranakan comfort food 😋
.
meet lazy jennie — bold red interior, estetik dan eye-catching banget! cobain peatha curry fish ball dengan curry yang medok, rich, dan comforting. menu lainnya ada kwetiau, mee pok, nasi goreng, bakso goreng dan menu breakfast lainnya ada aneka toast & egg tart
.
tempatnya cakep, makanannya enak, vibes-nya dapet⤵️
.
lazy jennie
🖥️ @lazyjennie.id 
📍 jl. taman pramuka no.183, bandung
⏰ 9 am - 9 pm

#kokokuliner #kulinerbandung #lazyjennie #tamanpramuka",3,46,2025-12-31 07:30:22,2026-01-13 10:52:21.702382,"{'media_type': 2, 'product_type': 'clips'}",LAZY JENNIE,@lazyjennie.id,"Jl. Taman Pramuka No.183, Bandung",,9 pagi hingga 9 malam,"new asian peranakan comfort food .
meet lazy jennie bold red interior, estetik dan eye-catching banget! cobain peatha curry fish ball dengan curry yang medok, rich, dan comforting. menu lainnya ada kwetiau, mee pok, nasi goreng, bakso goreng dan menu breakfast lainnya ada aneka toast & egg tart
.
tempatnya cakep, makanannya enak, vibes-nya dapet","Jl. Taman Pramuka No.183, Bandung",False,"new asian peranakan comfort food . meet lazy jennie bold red interior, estetik dan eye-catching banget! cobain peatha curry fish ball dengan curry yang medok, rich, dan comforting. menu lainnya ada kwetiau, mee pok, nasi goreng, bakso goreng dan menu breakfast lainnya ada aneka toast & egg tart
. tempatnya cakep, makanannya enak, vibes-nya dapet",55,Asian,lazyjennie.id,lazyjennie.id,lazy jennie,,"no pork, no lard, no angjiu, no mirin, no alcohol 
-
open today 09.00 - 21.00
hungry wife × cooking husband .
hungry by nature, lazy by choice.",1293.0,True,Bandung,"Jl. Taman Pramuka No.183, Bandung",9 pagi,9 malam
378,3799376495723546310,DS6GMr7kgbG,https://www.instagram.com/p/DS6GMr7kgbG/,kokokuliner,"new asian peranakan comfort food 😋
.
meet lazy jennie — bold red interior, estetik dan eye-catching banget! cobain peatha curry fish ball dengan curry yang medok, rich, dan comforting. menu lainnya ada kwetiau, mee pok, nasi goreng, bakso goreng dan menu breakfast lainnya ada aneka toast & egg tart
.
tempatnya cakep, makanannya enak, vibes-nya dapet⤵️
.
lazy jennie
🖥️ @lazyjennie.id 
📍 jl. taman pramuka no.183, bandung
⏰ 9 am - 9 pm

#kokokuliner #kulinerbandung #lazyjennie #tamanpramuka",3,46,2025-12-31 07:30:22,2026-01-13 10:52:21.702382,"{'media_type': 2, 'product_type': 'clips'}",LAZY JENNIE,@lazyjennie.id,"Jl. Taman Pramuka No.183, Bandung",,9 pagi hingga 9 malam,"new asian peranakan comfort food .
meet lazy jennie bold red interior, estetik dan eye-catching banget! cobain peatha curry fish ball dengan curry yang medok, rich, dan comforting. menu lainnya ada kwetiau, mee pok, nasi goreng, bakso goreng dan menu breakfast lainnya ada aneka toast & egg tart
.
tempatnya cakep, makanannya enak, vibes-nya dapet","Jl. Taman Pramuka No.183, Bandung",False,"new asian peranakan comfort food . meet lazy jennie bold red interior, estetik dan eye-catching banget! cobain peatha curry fish ball dengan curry yang medok, rich, dan comforting. menu lainnya ada kwetiau, mee pok, nasi goreng, bakso goreng dan menu breakfast lainnya ada aneka toast & egg tart
. tempatnya cakep, makanannya enak, vibes-nya dapet",55,Indonesian Food,lazyjennie.id,lazyjennie.id,lazy jennie,,"no pork, no lard, no angjiu, no mirin, no alcohol 
-
open today 09.00 - 21.00
hungry wife × cooking husband .
hungry by nature, lazy by choice.",1293.0,True,Bandung,"Jl. Taman Pramuka No.183, Bandung",9 pagi,9 malam
